text,telicity,punctual/duritive
"Oh we women, said Viola vaguely. ",TELIC,durative
"Drag out the cheque book, darling. ",TELIC,punctual
The machine was only on sale between nineteen thirty-six and nineteen forty.,TELIC,durative
"I'll deny all knowledge of it, if it suits me. ",TELIC,durative
Tell the interviewee what the next stage in the process will be and when.,TELIC,durative
"Probably she had some old typing paper of Walter's still around in the attic, so she could make them look convincing., ",TELIC,durative
"Still, he had until two o'clock before he had to go into the College  today was the day he did evening teaching., ",TELIC,durative
"When Walter came up to London just before the war those were times!, ",TELIC,punctual
So called verbal learning in man was studied,TELIC,durative
"Thank you,she said. ",TELIC,durative
I knew then you'd done for him all right.,TELIC,punctual
"They've had it done about O October time cos I asked him  just before we went away.,, ",TELIC,durative
"They had known each other for some time before they married, though, hadn't they? ventured Greg. ",TELIC,durative
"Hilda Machin looked at her husband's second wife, raised an eyebrow, and then flopped in her furry slippers down the hall. ",TELIC,durative
"As at all his power stations, Scott faced the building in a fine Worcestershire brick that has weathered to a lovely pinky-brown ",TELIC,durative
"you never told me this, said Bill plaintively. ",TELIC,punctual
"She went on: But it's funny too, isn't it? ",TELIC,durative
"Er  mind you, we had the house decorated ",TELIC,durative
The row between the two widows Machin took place between six and six-thirty.,TELIC,durative
"Then he went back to contemplation of one of his local  scenes, his broad shoulders hunched in the vivid purple shirt, his head pressed forward. ",TELIC,durative
"Two rather pudding-faced little girls in a limousine were succeeded on the screen by a smiling George VI and Roosevelt, with wives, at the Roosevelt country estate. ",TELIC,punctual
"Scott's first venture into this unlikely field of design was at Battersea where, in 1930, he was wheeled in as a famous knighted architect by the London Power Company to try to make acceptable the coal-fired monster power station to which the residents of Chelsea and Westminster were taking strong exception. ",TELIC,durative
"A contradiction, an unlikelihood, a piece of the jigsaw which glared out with a contrasting colour nowhere else evident in the picture. ",TELIC,durative
Well you found me!,TELIC,punctual
"And as far as Greg could judge there were a great many writers who had found a place in the book who were quite as obscure or more so ��� poets whose flame had died with the end of the war, one-off playwrights whose experimental verse dramas had caused no more than a ripple of interest even in their own time. ",TELIC,punctual
"He had married because he too thought he was of an age to settle down, and he had settled. ",TELIC,punctual
"he was that smart, Viola, he would never have fallen for your little game.",TELIC,durative
Her eyes narrowed.,TELIC,durative
"Right, I'll go and do my hair. ",TELIC,durative
The second main phase of programmed instruction became feasible with the development of low cost computing.,TELIC,punctual
Greg tried to switch his mind back to the problem in hand.,TELIC,punctual
"Judge said he couldn't put an estimate on the value of the typescript, and ignored it in the sentence. ",TELIC,durative
There were many as reckoned she threw erself away when she started going with Walter Machin.,TELIC,durative
"How did it come about? asked Greg, neatly insinuating his toe into the opening. ",TELIC,punctual
"He took out a typescript, to which was attached a handwritten manuscript. ",TELIC,punctual
Greg saw Bill Clough blink agitatedly and look sharply at his wife.,TELIC,punctual
"Rose left it on the coffee table by her husband's chair, and when he had had his usual mixed fry-up and was preparing to have his snooze, his eye caught it as it lay there. ",TELIC,punctual
"Thanks very much,said Greg. ",TELIC,durative
"I saw him come up the path,said an angry voice. ",TELIC,durative
He took the early train up to London.,TELIC,durative
"He switched on a few lights, took off his coat and tie and rolled up his sleeves, then he pottered around the kitchen making himself a good night mug of milkless tea. ",TELIC,punctual
"Don't I ever, said Rose, with her old energy. ",TELIC,durative
Did you and Walter quarrel?,TELIC,durative
I taped it mainly for you.,TELIC,punctual
"That doesn't prove anything, said Rose. ",TELIC,durative
What had he got from the talk?,TELIC,punctual
And that could easily have panicked her.,TELIC,durative
"Well, I never knew him really, till right at the end. ",TELIC,durative
Why had she done it?,TELIC,durative
"As she closed the door after her, Mr Kronweiser looked at it for a minute or two in puzzlement. ",TELIC,punctual
Greg groaned into his pint mug.,TELIC,durative
Did you take against him?,TELIC,durative
Well I shan't get it in there.,TELIC,durative
We've had turkey tonight.,TELIC,durative
Mattlock's business judgement was vindicated by Cotton Town's sales: it only went into one printing.,TELIC,punctual
"Gagne also separated four   phases of a learning sequence; apprehension, acquisition, storage and retrieval. ",TELIC,punctual
"Of course, if I'd waited just a few months, I could have had anyone I liked. ",TELIC,durative
Mentally he grouped them.,TELIC,punctual
All right he said. ,TELIC,durative
I'll see people know the truth about you,TELIC,durative
"After it she felt soothed of any irritation she may have felt with the last letter, wiped her mouth with satisfaction, and picked up the Oswaldston Gazette. ",TELIC,durative
Viola relaxed into a mellow mood.,TELIC,durative
With visible reluctance he handed it to Hilda Machin.,TELIC,punctual
Mr Hocking?she said.,TELIC,durative
"The obsession, of current management, with measurement and the reduction of every variable to numbers for ease of computer manipulation has worsened the situation. ",TELIC,punctual
"There,so I'll save this. ",TELIC,durative
Have you called your work today?,TELIC,durative
But what if he had voiced his suspicions to Viola?,TELIC,durative
"But seeing a look of sympathy, she replied: Yes, that's right. ",TELIC,durative
"Mr Kronweiser had just had a letter from his departmental head, a man whose word made or marred men's careers, a man almost as sensitive to fashionable currents as roly-poly Dwight himself. ",TELIC,durative
Did he now?,TELIC,durative
"Then he walked around the little living-room, cradling the mug in his hands, and thinking. ",TELIC,durative
"Yeah , when you went down and took Emma's photo., ",TELIC,punctual
Rose laughed and looked more happy.,TELIC,durative
"Do your worst, Doc, he'd say: Put an end to it. ",TELIC,durative
I'll post it tonight.,TELIC,punctual
"He registered in his mind one other possibility: that the letters had been forged by Kronweiser himself, to fill out the picture of Walter Machin for his book. ",TELIC,punctual
"I'm a friend of the old ladies,he said. ",TELIC,durative
So they moved in together.,TELIC,punctual
"Alf Ackroyd behind the bar pricked up his ears, as if some rival establishment to his own were under discussion., ",TELIC,punctual
Let's have a feel?,TELIC,durative
"I had intended to go to Downing Street, but then I thought I couldn't bear it if old Chamberlain came out waving a bit of paper and smiling his death's head smile, so I just lay down in the park instead. ",TELIC,durative
"Her mother looked up from her letters, and gazed hard at her daughter. ",TELIC,durative
"He continually looked around him, as if for advice, then dropped his eyes to his shoes. ",TELIC,durative
"His face assumed an expression of sublime conceit, and once more he leaned forward with an air of confidentiality.",TELIC,durative
"He paused, seeming to survey the landscape of his relationship with the Machins. ",TELIC,durative
I just put it underneath.,TELIC,durative
"In an elegant series of experiments Conrad (1964) demonstrated that in transposing visually presented data the errors are more likely to be in numbers or letters of similar sound rather than those which are of similar appearance.,, ",TELIC,durative
"She took another sip of her drink, and (her mouth still working convulsively) she went on., ",TELIC,punctual
It was dated early in 1940:,TELIC,punctual
Told Jessica not to bother phoning me up.,TELIC,durative
"Nothing at all,said Greg, letting himself out of the front door. ",TELIC,durative
"We had chicken, ",TELIC,durative
"That one you've got there  Cotton Town that came out just before I got called up.,, ",TELIC,punctual
I told her not to bother phoning me up.,TELIC,durative
"Er no , but one of them  collected these ones., ",TELIC,durative
"Right, lean on the paper again., ",TELIC,durative
"He sat up in bed, stubbed his cigarette out, and put his arms around his knees in thought. ",TELIC,punctual
"His marriage was treated very briefly; he recorded it as taking place in 1934, and the bride as being at that time.",TELIC,durative
"Since then they had come into contact over one or two smaller matters, and it was to him that Greg naturally went in the aftermath of Hilda Machin's death. ",TELIC,durative
"She raised her chin a little, and a hard look came into her eyes., ",TELIC,punctual
"The major critical work revealed a rather different side to Gerald's personality.,, ",TELIC,punctual
I haven't finished  thirty three,TELIC,durative
I'll move these.,TELIC,durative
"He'd soaked up atmosphere, as he had intended  my God he had., ",TELIC,durative
We'll be sending one of our own men in in a few minutes.,TELIC,punctual
"You told me , I remember now. ",TELIC,durative
"Rose, he had discovered, knew quite a lot because Hilda had told her. ",TELIC,durative
But he docketed the possibility in the filing cabinet of his mind.,TELIC,punctual
Excuse me please!,TELIC,punctual
I'll get it off and sent Carol.,TELIC,durative
Come here.,TELIC,durative
It's not going to what?,TELIC,durative
Helen sat up in bed beside him and thought.,TELIC,durative
"The list dropped from her hand, and Mr Kronweiser seized on it to restore it to its place., ",TELIC,punctual
"The novel had interested him, but left him unsatisfied. ",TELIC,durative
He shouted again: It's at the back.,TELIC,punctual
"So we contact the widow, take over the rights from the original publishers, and bingo! ",TELIC,punctual
She smiled at him cheerily and opened the gate as he got out of his car.,TELIC,durative
"It's, it's a bit silly is  could have done some damage to your eye., ",TELIC,durative
"You don't think it might have been better to let her have her say out, suggested Desmond, and get it off her chest? ",TELIC,durative
"When you've, that gravy's got thick  just go and have a look please., ",TELIC,punctual
