id,caption,category,class,subclass,verb,comment
6584,airliner is shown in front of the hanger after its arrival,d,atelic,durative,is shown,could be state
880,and they shared a cake worthy of a party .,d,telic,durative,shared a cake,
12881,seems like this dog has no idea what hes doing,d,state,durative,seems,
407,a trader arrives with his camels at the annual fair .,d,telic,punctual,arrives at,
4472,a general view shows the terminal,d,atelic,durative,shows,could be state
5369,"find tips for talking to teens about the dangers of distracted driving , such as texting and driving .",i,telic,punctual,find,
6086,"one of the most popular dishes is animal and food , which also layers on a fried egg , strips of bacon and pesto .",d,state,durative,is,
7957,"they asked each other , were not our hearts burning within us while he talked with us on the road and opened poetry book to us ?",d,telic,punctual,asked each other,
9137,"the spider , and the whole world of spiders are known to have kinds , records about species , can be roughly divided into nomadic spiders",d,state,durative,can be divided,
682,the hygienic conditions in the slums are devastating .,d,state,durative,are,
12778,a sad little girl sits by the window with person watching the rain drops fall,d,atelic,durative,sits by the window,
9134,it 's gold : the front features the presidential seal in gold - the color of choice,xd,state,durative,features,
10087,"i want this wording , with a tree in my son 's room .",d,state,durative,want,
3675,this is the famous road surrounded by hundreds of palm trees .,d,state,durative,is,
7229,noble person strolling along ... in this picture she reminds me of a younger lady .,xd,state,durative,reminds,
11571,"taken unknown bird on an unknown plant , looking more majestic than a lion ever did .",e,error,,noun phrase or adjective phrase syntax,
660,there is light at the end of the tunnel,d,state,durative,is,
82,keep an eye out for leopard in the trees bordering river .,i,atelic,durative,keep an eye out,
6100,football player celebrates scoring his side 's second goal with team mates during the match .,d,atelic,durative,celebrates,
2296,does anyone know who the name of the actress that plays the girl in this scene ?,q,state,durative,know,
3182,a little girl is listening to music on headphones .,d,atelic,durative,listen to music,
814,"a person reads newspaper , the morning after the referendum results and person",d,atelic,durative,reads newspaper,
4739,biological species can you believe that boaters get angry with these beautiful animals because they have to slow down !,xq,state,durative,believe,
9945,"playing in the park , taken by person .",e,error,,noun phrase or adjective phrase syntax,
176,the boat floats on the river with rocky shores,d,atelic,durative,floats,
12456,it 's really handy when i have a batch of items like this little eccentric shaft to turn .,d,state,durative,is handy,
5194,the hot air balloons soar above the clouds on a flight over a city,d,atelic,durative,soar above the clouds on a flight,
1612,looking inside after one of the sliding doors which was removed after i touched it .,e,error,,noun phrase or adjective phrase syntax,
11669,airman guides a drone as it taxis to the runway .,d,atelic,durative,guides a drone,
72,combines famous scenes from plays with the internet 's favorite animal .,d,state,durative,combines,
1031,person testifies during a hearing .,d,atelic,durative,testifies during a hearing,
6043,person is simple thing : making next - level quality tea accessible .,d,state,durative ,is simple thing,
671,the train leaves railway station,d,telic,punctual ,leaves,
8889,politician arrives in an aircraft,d,telic,punctual,arrives,
8213,history boy : became the youngest player to play,d,telic,punctual,became,
5559,religious leader made history today as he participated in a virtual audience with country from across the country in preparation for his upcoming first - time visit to country,d,telic,punctual,made history,
5166,"person , person arrived in grand fashion with the team of the film .",d,telic,punctual,arrived,
936,recurring competition maybe this body shape will be back in style,xd,state,durative,will be back in style,
6671,sculpture is a printed ceramic mosaic sculpture by visual artist the work was commissioned to celebrate the regeneration,d,state,durative,is a sculpture,
11845,typewriter with a missing key,e,error,,noun phrase or adjective phrase syntax,
7027,giant tombs carved into the rocks,e,error,,noun phrase or adjective phrase syntax,
1411,worried : farmers were concerned the high rise in temperatures this year would mean a shorter season for biological genus but the recent rain might help it to keep growing until the end of july,xd,state,durative,were concerned,
11743,moving red wheel of a vintage racing car,e,error,,noun phrase or adjective phrase syntax,
1092,in his speech military person assured countries of enduring commitment to the region 's security and prosperity .,d,atelic,durative,assured of commitment,or punctual telic
3836,customers will never love a company until the employees love it first .,d,state,durative,will never love,
8245,politicians the first lady wore a dress by fashion designer,xd,atelic,durative,wore a dress,
11336,a speaker introduces a documentary in an art gallery on the quiet outskirts .,d,atelic,durative,introduces a documentary,or punctual telic
10949,person finally goes all the way,d,telic,durative,goes all the way,or punctual telic
11030, an axis is an imaginary line that goes through a planet .,d,state,durative,is an imaginary line,
695,"planning to spend above rs lakh on marriage ? person seeks cap on guests , menu -- here are the details",xq,atelic,durative,seeks cap on guests,
6551,football player celebrates what seemed an almost certain winner against the champions,d,atelic,durative,celebrates,
12827,tourist attraction - has a bloody past dating back to the 14th century and is known as most haunted castle - a plethora of ghostly activity has been reported here including a dark entity who smells like rotting flesh,d,state,durative,has a bloody past,
