text,punctual/duritive,telicity
For making Dough 1 cup All purpose flour/Maida 1 cup water 1 tablespoon Sugar 1 tablespoon Vegetable oil 1/2 teaspoon SaltFor making Churros Oil for deep fryingTo Sprinkle/Roll 1 tablespoon sugar 1 teaspoon of Ground cinnamon,durative,atelic
"Use a spoon or butter knife to distribute jelly onto the opposite still plain bread slice. This ensures that when you put the sandwich together the jelly won't slip off, or if you put the jelly on the already topped slice of bread, it might slip off of that as well before you get the chance to put the other slice on top.",durative,atelic
garnish the magic spicy tea and enjoy it.,punctual,atelic
"After the yeast has been activated, you mix the remaining flour with what you have left rest. Then, you knead the mix you have made.",durative,atelic
"Use a spoon or butter knife to distribute jelly onto the opposite still plain bread slice. This ensures that when you put the sandwich together the jelly won't slip off, or if you put the jelly on the already topped slice of bread, it might slip off of that as well before you get the chance to put the other slice on top.",durative,atelic
For making Dough 1 cup All purpose flour/Maida 1 cup water 1 tablespoon Sugar 1 tablespoon Vegetable oil 1/2 teaspoon SaltFor making Churros Oil for deep fryingTo Sprinkle/Roll 1 tablespoon sugar 1 teaspoon of Ground cinnamon,durative,atelic
For making Dough 1 cup All purpose flour/Maida 1 cup water 1 tablespoon Sugar 1 tablespoon Vegetable oil 1/2 teaspoon SaltFor making Churros Oil for deep fryingTo Sprinkle/Roll 1 tablespoon sugar 1 teaspoon of Ground cinnamon,durative,atelic
"Make your own spice blend, cheaper than buying!Here I have farmed sea salt from Ireland (amazing and can be found on amazon), garlic powder, cafe grind black pepper, dark chili powder and a smoked paprika.Once you have your blend,....rub it into all sides of the pork.I dont have picture as my hands were pretty dirty after this step! ",punctual,atelic
Add the Worcestershire sauce & Sriracha sauce to the meat and mix well. Refrigerate overnight.,punctual,atelic
"Mix in the pumpkin, stirring",durative,atelic
"You will need an iron, a flat metal bar (I used a level) a vacuum, Mylar bags and the food to be packaged.",durative,atelic
Let the tea cool off before serving. Mine was so hot I poured myself a glass and had to put it in the freezer to cool down before I drank it. Add some ice to keep your drink cold and a mint leaf to give it some class. Enjoy!,durative,atelic
"When the cake is finished cooking, take it out of the oven and allow cooling for about 5 minutes. Next, crumble the cake into fine pieces. ",durative,atelic
Sprinkle with the crushed candy canes.,punctual,atelic
Bake at 180 degrees of 40-50 minutes. Don't think highly too that cheese wasn't overroasted.,durative,atelic
Line a baking sheet with parchment paper and sprinkle the cornmeal. Place the braided dough on top and cover loosely with plastic wrap. Let sit 20-30 minutes.,punctual,atelic
"Now add the riceThenBring it to a boil and allow to simmer for 15 minutesTip: Watch carefully, the water can evaporate causing the rice stick to the pan and burning.FINALLYStir in the frozen peas and seafood (optional) and cook for a further five minutesYOUR DONE",punctual,atelic
"Congrats you're done! This is the easiest way I have found to make super chocolatey milk, add more chocolate syrup if needed. Enjoy!!!!",punctual,atelic
garnish the magic spicy tea and enjoy it.,punctual,atelic
Always remember to wash and disinfect your hands before preparing any food!!,durative,atelic
"Peel the pumpkin and slice into tiny fingers or piecesHeat a frying pan and pour a tsp of oilAdd the pumpkin pieces and cook until soft on medium-heat.(takes 6 - 8 minutes)note: add 1/4 cup of water if needed while cooking...Once they turn soft, take them into a serving bowl.Let it cool before serving",durative,atelic
"use your hands to bring the mixture together. It may not work at first and be hard to combine, but that's normal. keep needing the dough until soft and shiny on the outside",durative,atelic
"If you would like you can gather frosting or other toppings and decorate your 'Cup' Cake before you eat it. I, personally, did not and just ate it plain. ",durative,atelic
-After sometime you can see milk starts boiling.Keep stirring continuosly,durative,atelic
-Mix everything and add 3/4 cup curd to it,durative,atelic
-Mix everything and add 3/4 cup curd to it,durative,atelic
"Making sure they're still warm from the oven, fill a blender of food-processor with the roasted peanuts.",durative,atelic
"Now decorate your tea using lemons, limes, oranges, or even small umbrellas lol XD",durative,atelic
Running a bit of hot water on the end of the cup helps release the cube from the cup.  Then just pop it in your glass and enjoy.,punctual,atelic
Get a spoon and crush it up and eat.,durative,atelic
"Drain the ground beef leaving a small amount of grease in the pot with the ground beef and add the rotel, cream of chicken soup, taco seasoning,chopped jalapeno and 1 soup can full of water.",durative,atelic
Combine the soften cream cheese and salsa with the sausage already in the skillet.,durative,atelic
Spread the mixture evenly over a lined baking sheet.,durative,atelic
Slowly wiggle the spoon through kiwi,durative,atelic
-After adding cornflakes just mix and add sugar to it,durative,atelic
Once the coconut milk is frozen you can now pour over the kiwi puree and place in the freezer for 1-2 hours for one last time until it's frozen like a popsicle!,durative,atelic
1 cup pizza sauce1 packaged pizza crust (any type of crust)1/4 cup pepperoni slices1 1/2 cups shredded mozzarella,,atelic
"Enjoy!To make rice even more easily, you could also check out some rice cooker reviews and take your rice cooking to the next level!",durative,atelic
Sprinkle cheese on top (preferred amount),punctual,atelic
"You spread the salt all over the wheat flour and then in the hole you have done you place the yeast, the water and a pinch of sugar.&#160;",durative,atelic
Enjoy eating the sandwich!,durative,atelic
"Remember, when you are creating a masterpiece, to always use the best ingredients money can buy.",durative,atelic
Combine cinnamon and sugar.,durative,atelic
Pour the GLITTERRRR,durative,atelic
add sauce to flat bread and spread,punctual,atelic
Easy Easy!! Are you in the mood for pizza? Don't want to or don't know how to make pizza dough? Just use a piece of bread as the pizza base and top with all your favourite pizza toppings! Bake it in the oven until the cheese is melted.,durative,atelic
Just changing the shape of your sandwich can sometimes do the trick! You know what they say - we eat with our eyes - so next time you feel a bit of creativity come along - grab some cookie cutters and have some fun!,durative,atelic
Mix all of the milk into the stove pot with the sugar-gelatin mix so that the sugar and gelatin are floating in the milk.,durative,atelic
"Mix in the pumpkin, stirring",durative,atelic
"Combine the half and half, sugar and vanilla extract in the pint-size bag. Seal the bag tightly, so that none of the liquid will leak out.",punctual,atelic
Pour apple mix over cake and spread evenly throughout. Refrigerate for 3-4 hours or overnight.,durative,atelic
Enjoy Responsibly,durative,atelic
Mix the ingredients together with a blender.,durative,atelic
"12) Fry the pumpkin doughs in pan.&#160;If your pan has a limited size, you might want to fry them one after another, or three in one run, whatever suits you.",duraitve,atelic
"Enjoy making cute faces for all of the different snowmen! Let them dry, and they are ready to eat.",durative,atelic
-Mix everything and add 3/4 cup curd to it,durative,atelic
i find it easier to open a bag and place closed bag inside,durative,atelic
Enjoy! It won't last long. (Let us know your thoughts if you made it),durative,atelic
Mix in minced up eggs thoroughly.,durative,atelic
Mix all ingredients into a crockpot. Be sure that all ingredients are in the pot. Tip: allow cream cheese to soften before being thrown into crockpot.,duraitve,atelic
"In a medium bowl, whisk eggs, MBM and lemonade together to make a smooth batter",durative,atelic
Make yourself a delicious looking omelette. I put a little milk into my egg batter and whisked till it was fluffy,durative,atelic
-Enjoy these tikkis with ketchup.,durative,atelic
"Enjoy!To make rice even more easily, you could also check out some rice cooker reviews and take your rice cooking to the next level!",durative,atelic
Make sure the plate is not too big or small or you will have a mess XD,punctual,atelic
mix different flavors of juice in a glass,durative,atelic
now enjoy your treat,durative,atelic
Sprinkle cheese on top (preferred amount),punctual,atelic
"In the crock of a slow cooker, whisk together the chicken broth, orange zest and juice, mustard, and measured salt.",durative,atelic
"Mashed potato is key to this recipe. I prepare some mashed potato prior to constructing the sandwich - I feel it saves time in the end. I leaves the skins on the potatoes, as I feel they add flavour. I'm using new potatoes here.",durative,atelic
Fry it!!,durative,atelic
Make a hot tea and enjoy the Cake ala Victorian.,durative,atelic
"keep cutting and connecting them, until you have a long chain",durative,atelic
mix different flavors of juice in a glass,durative,atelic
