text,label,subcategory
We were very close.,ATELIC,Durative
The scoreboard could be clearly seen.,ATELIC,Durative
There was a huge boulder right in the middle of the stream.,ATELIC,Durative
The restaurant they had the reunion at was beautiful.,ATELIC,Durative
He couldn't wait to get out on the lake with his family.,ATELIC,Durative
Taking pictures at dawn provide excellent results.,ATELIC,Durative
Even the towns make for amazing pictures.,ATELIC,Durative
Cannot call it a day without one more picture of the snow covered mountains!,ATELIC,Durative
She doesn't want to share her candy with her little brother before she goes to school.,ATELIC,Durative
Dora didn't want another picture; but she's just so cute.,ATELIC,Durative
He's waiting for Dora to get home from school.,ATELIC,Durative
He always misses her.,ATELIC,Durative
He can't wait to do it again.,ATELIC,Durative
Each group was allowed to make its presentation about anything they wanted.,ATELIC,Durative
Sometimes only one voice spoke volumes.,ATELIC,Punctual
She relaxes hoping that the rest will heal her body.,ATELIC,Durative
Getting the restaurant ready for customers to come in.,ATELIC,Durative
You really don't get no food with this serving.,ATELIC,Durative
These were the ribs my husband cooks.,ATELIC,Durative
The scenery was pretty.,ATELIC,Durative
I really loved the flowers.,ATELIC,Durative
There's the people going to shoot off the fireworks.,ATELIC,Punctual
Everyone was in awe at the large fireworks.,ATELIC,Durative
Some were multi colored like this one.,ATELIC,Durative
Others had several different sequences to them.,ATELIC,Durative
It was really busy and they could barely keep up signing.,ATELIC,Durative
They had a lot of spare pens to make sure they did not run out of ink!,ATELIC,Durative
These must have been wealthy considering the size of the their tombstones.,ATELIC,Durative
I sat quietly in the background with my boyfriend.,ATELIC,Durative
There was even a blonde reindeer drinking a beverage.,ATELIC,Durative
The stands were absolutely packed at this year's Virginia Tech graduation ceremony.,ATELIC,Durative
There were literally seas of people almost as if there was a sporting event.,ATELIC,Durative
I will be keeping the program in remembrance of the graduation.,ATELIC,Durative
I was getting very tired.,ATELIC,Durative
People prefer to be around nice people.,ATELIC,Durative
Stephanie is one of the nicest people at a university.,STATIVE, 
Everyone was proud of each other that day.,STATIVE, 
there where so many people giving oaths as well.,ATELIC,Durative
it was almost like watching a church sermon.,ATELIC,Durative
The graduates to be are nervous as they approach the stage.,STATIVE, 
Family members are eager to congratulate the new graduate.,STATIVE, 
Other people had funny looking outfits as well.,ATELIC,Durative
Overall; it was a fun experience.,ATELIC,Durative
Our children are growing up fast.,ATELIC,Durative
I remember him being so excited to receive Masters of the Universe Castle.,ATELIC,Durative
His big wheel took him everywhere.,ATELIC,Durative
But the best memories were not surrounded by toys; but by the ones he loves.,ATELIC,Durative
This little doll was feeling very sad.,ATELIC,Durative
